stock_key,ticker,issuer_key,industry_key,sector_key,exchange_key,currency_key,share_class,lot_size,market_cap_bucket,reference_price
58,BLUEQ,93,1,1,7,5,ORD,1,Large Cap,106.81
59,NORTY,46,7,2,5,3,ORD,1,Large Cap,70.73
60,SUMML,261,31,9,7,5,ORD,1,Mid Cap,77.82
61,FALCV,220,17,5,11,8,ORD,100,Large Cap,97.3
62,VERTK,119,28,8,6,4,A,1,Large Cap,37.23
63,NIMBT,129,9,3,4,3,B,1,Mid Cap,46.95
64,NOVAN,175,19,5,7,5,ORD,1,Small Cap,16.02
65,HARBN,128,20,6,8,6,ORD,100,Mid Cap,52.28
66,STERA,212,26,7,4,3,ORD,10,Large Cap,324.42
67,CRYSE,138,30,8,2,1,ORD,1,Mid Cap,34.77
68,NORTP,291,19,5,11,8,ORD,10,Mid Cap,77.36
69,WESTA,193,6,2,5,3,ADR,1,Small Cap,18.44
70,CRYSQ,100,8,2,7,5,ORD,1,Small Cap,14.06
71,EMERB,161,39,11,7,5,ORD,1,Large Cap,90.66
72,EMERQ,42,14,4,7,5,A,1,Large Cap,171.58
73,ALPHA,35,6,2,6,4,ORD,100,Large Cap,166.65
74,GOLDT,109,28,8,6,4,A,100,Large Cap,124.01
75,NIMBA,36,11,3,5,3,ORD,1,Small Cap,41.54
76,FALCP,194,13,4,11,8,ADR,1,Mid Cap,30.51
77,FALCT,84,29,8,8,6,ORD,1,Mid Cap,86.43
78,SUMMZ,236,2,1,6,4,ORD,1,Large Cap,75.16
79,EASTH,313,28,8,6,4,ORD,1,Small Cap,7.0
80,WESTI,258,28,8,7,5,ORD,1,Mid Cap,66.25
81,FUTUS,82,26,7,5,3,ORD,100,Mid Cap,131.56
82,SILVG,287,22,6,3,2,A,1,Mid Cap,69.34
83,GOLDE,113,24,7,7,5,A,100,Mid Cap,47.31
84,DYNAC,115,19,5,6,4,B,10,Mid Cap,74.35
85,SUMMY,27,36,10,4,3,B,1,Mid Cap,41.32
86,EASTZ,290,17,5,5,3,ORD,1,Small Cap,14.73
87,VECTO,123,14,4,3,2,ORD,1,Small Cap,18.68
88,NORTF,209,35,10,7,5,ADR,1,Large Cap,31.35
89,DYNAG,4,18,5,8,6,A,10,Large Cap,160.61
90,ORIOQ,257,29,8,8,6,ORD,100,Mid Cap,31.68
91,WESTF,127,11,3,4,3,B,10,Large Cap,222.56
92,SUMMV,33,12,3,9,3,ORD,1,Mid Cap,45.37
93,ALPHT,217,10,3,8,6,ORD,10,Small Cap,14.02
94,GLOBW,136,2,1,7,5,ORD,1,Large Cap,135.09
95,GOLDF,109,28,8,6,4,A,1,Mid Cap,46.79
96,CRYSU,114,18,5,6,4,ORD,10,Large Cap,106.04
97,SILVW,276,20,6,7,5,ORD,1,Mid Cap,49.51
98,EASTD,31,33,9,3,2,ORD,10,Mid Cap,51.85
99,VECTG,305,32,9,11,8,ORD,100,Small Cap,54.23
100,PRIMV,44,4,1,6,4,ADR,10,Mid Cap,59.07
101,VECTK,197,2,1,3,2,B,1,Mid Cap,36.38
102,SUMMO,33,12,3,9,3,ORD,1,Small Cap,30.36
103,STERP,154,3,1,11,8,ORD,1,Large Cap,156.22
104,EASTA,53,30,8,7,5,ORD,1,Small Cap,15.35
105,LIBEA,297,11,3,11,8,ORD,100,Large Cap,241.32
106,APEXX,279,32,9,7,5,A,100,Mid Cap,26.52
107,CRYSM,21,4,1,1,1,ORD,10,Large Cap,97.3
108,NIMBV,183,12,3,5,3,ORD,100,Large Cap,109.99
109,ALPHH,190,35,10,6,4,ORD,1,Mid Cap,68.38
110,FALCU,220,17,5,11,8,ORD,10,Large Cap,136.45
111,PRIME,44,4,1,6,4,ORD,1,Mid Cap,38.68
112,LIBES,164,24,7,3,2,A,10,Large Cap,149.11
113,STERT,296,20,6,4,3,ORD,100,Large Cap,98.37
114,DYNAU,309,5,2,6,4,ORD,10,Small Cap,14.52
115,GOLDP,310,34,10,6,4,ORD,100,Mid Cap,167.98
116,NOVAF,263,13,4,7,5,A,1,Small Cap,23.94
117,IRONF,146,12,3,7,5,ORD,10,Large Cap,147.91
118,CRESZ,125,37,11,2,1,ORD,10,Small Cap,5.51
119,IRONK,14,21,6,11,8,ORD,1,Small Cap,24.33
120,FALCF,256,30,8,5,3,B,10,Mid Cap,38.32
121,CRESL,207,39,11,5,3,ORD,10,Mid Cap,85.58
122,ALPHF,300,37,11,6,4,ORD,10,Mid Cap,96.99
123,PIONG,47,19,5,3,2,B,1,Mid Cap,32.91
124,BLUEZ,22,3,1,10,7,B,1,Large Cap,208.98
125,VECTI,250,25,7,9,3,ADR,10,Mid Cap,49.63
126,VECTS,76,24,7,9,3,ADR,1,Mid Cap,30.73
127,COBAL,132,8,2,9,3,ORD,1,Mid Cap,34.74
128,CRYSZ,21,4,1,2,1,ORD,1,Large Cap,174.17
129,HARBE,40,32,9,11,8,ADR,1,Small Cap,14.77
130,EMERV,42,14,4,7,5,B,1,Mid Cap,94.79
131,PRIMW,98,35,10,2,1,B,100,Large Cap,217.37
132,NOVAG,78,17,5,9,3,ORD,100,Large Cap,144.44
133,WESTH,127,11,3,4,3,ORD,100,Small Cap,8.05
134,ORIOD,118,18,5,10,7,ORD,100,Large Cap,86.32
135,SUMMB,27,36,10,4,3,ORD,1,Mid Cap,58.85
136,EMERW,161,39,11,7,5,ORD,100,Mid Cap,109.52
137,EMERS,188,34,10,10,7,ORD,10,Large Cap,139.76
138,WESTQ,302,22,6,4,3,ORD,10,Large Cap,121.54
139,HARBU,274,1,1,3,2,B,1,Large Cap,129.5
140,BLUEP,66,36,10,7,5,B,100,Large Cap,91.24
141,IRONB,196,26,7,3,2,ORD,1,Mid Cap,44.89
142,IRONM,319,27,7,11,8,ORD,1,Large Cap,133.48
143,HARBW,274,1,1,3,2,ORD,1,Small Cap,35.68
144,VECTT,234,1,1,6,4,B,1,Small Cap,31.71
145,ATLAP,64,12,3,10,7,ORD,10,Large Cap,152.35
146,PRIMT,98,35,10,2,1,ORD,1,Large Cap,71.19
147,COBAO,52,22,6,11,8,ORD,1,Small Cap,17.85
148,GOLDL,285,38,11,4,3,ORD,10,Mid Cap,52.95
149,CRESB,141,3,1,11,8,B,1,Large Cap,119.85
150,GOLDQ,320,18,5,7,5,A,1,Large Cap,253.89
151,VERTM,41,16,4,10,7,ORD,10,Small Cap,28.03
152,NOVAB,15,32,9,11,8,ADR,10,Large Cap,108.93
153,FUTUK,222,4,1,9,3,A,1,Large Cap,84.05
154,SILVK,171,17,5,8,6,ORD,1,Small Cap,15.64
155,ATLAG,198,28,8,11,8,ORD,1,Mid Cap,64.48
156,SUMMM,27,36,10,4,3,ADR,1,Large Cap,116.93
157,ATLAU,201,8,2,2,1,ORD,1,Large Cap,95.2
158,GOLDD,278,15,4,4,3,B,10,Small Cap,33.81
159,FUTUA,3,34,10,11,8,ORD,1,Large Cap,78.59
160,LIBEJ,187,34,10,7,5,B,1,Large Cap,90.51
161,SILVV,208,18,5,8,6,ORD,1,Large Cap,59.15
162,FALCR,194,13,4,11,8,A,1,Large Cap,85.7
163,QUAND,215,23,6,5,3,ORD,100,Mid Cap,77.94
164,SUMME,292,3,1,6,4,B,1,Mid Cap,43.94
165,COBAI,120,39,11,9,3,ORD,1,Large Cap,200.85
166,PRIMG,98,35,10,1,1,ORD,10,Mid Cap,80.58
167,SUMMC,27,36,10,4,3,B,100,Mid Cap,47.37
168,SUMMP,107,24,7,7,5,ORD,1,Large Cap,169.65
169,BLUEV,93,1,1,7,5,ORD,1,Mid Cap,31.95
170,APEXK,295,30,8,5,3,A,10,Large Cap,150.04
171,LIBEB,297,11,3,11,8,ORD,100,Large Cap,294.94
172,HARBP,20,7,2,6,4,ORD,1,Large Cap,159.02
173,PRIMO,44,4,1,6,4,ORD,100,Mid Cap,36.23
174,QUANH,140,1,1,2,1,ORD,100,Mid Cap,57.16
175,NOVAV,263,13,4,7,5,B,10,Small Cap,21.17
176,NORTK,273,35,10,5,3,ORD,1,Mid Cap,50.15
177,VECTY,305,32,9,11,8,ORD,1,Mid Cap,104.29
178,EASTW,147,2,1,3,2,ORD,100,Large Cap,121.93
179,ORIOW,257,29,8,8,6,ORD,1,Small Cap,23.72
180,LIBEI,297,11,3,11,8,B,10,Mid Cap,34.55
181,SILVN,318,19,5,3,2,ORD,10,Mid Cap,39.36
182,QUANL,181,21,6,3,2,ORD,1,Large Cap,99.33
183,SUMMW,27,36,10,4,3,ORD,10,Large Cap,77.26
184,GOLDW,214,5,2,9,3,B,1,Small Cap,24.34
185,WESTL,143,27,7,5,3,ORD,1,Small Cap,42.73
186,EMERA,248,35,10,9,3,A,1,Large Cap,147.19
187,EASTX,180,38,11,11,8,ORD,10,Large Cap,114.36
188,IRONO,196,26,7,3,2,B,100,Small Cap,15.59
189,VERTP,260,25,7,6,4,B,1,Small Cap,14.65
190,NIMBO,51,34,10,9,3,B,1,Mid Cap,146.38
191,WESTK,62,12,3,3,2,ORD,10,Large Cap,84.75
192,IRONW,319,27,7,11,8,ORD,1,Mid Cap,34.2
193,NIMBJ,129,9,3,4,3,A,1,Large Cap,71.75
194,NIMBX,51,34,10,9,3,ORD,1,Mid Cap,45.56
195,QUANA,181,21,6,3,2,ORD,10,Mid Cap,59.45
196,HARBR,55,32,9,7,5,ORD,100,Large Cap,202.28
197,HARBZ,40,32,9,11,8,B,100,Large Cap,65.31
198,STERK,296,20,6,4,3,ORD,10,Small Cap,19.91
199,GOLDJ,200,33,9,8,6,B,1,Large Cap,64.43
200,STERQ,153,14,4,7,5,ORD,1,Small Cap,14.61
201,IRONH,319,27,7,11,8,A,1,Large Cap,88.15
202,ALPHN,35,6,2,6,4,ORD,100,Large Cap,142.62
203,CRESV,11,25,7,5,3,ORD,10,Small Cap,28.23
204,STERS,153,14,4,7,5,B,1,Mid Cap,31.02
205,PIONQ,47,19,5,3,2,B,1,Large Cap,233.67
206,CRYSJ,150,23,6,3,2,A,1,Large Cap,121.09
207,FALCY,37,37,11,3,2,B,10,Mid Cap,64.02
208,SUMMQ,166,15,4,10,7,B,1,Mid Cap,50.08
209,SILVP,67,36,10,8,6,ORD,1,Large Cap,185.55
210,VERTB,315,20,6,3,2,ORD,1,Large Cap,140.84
211,PIONI,269,19,5,2,1,ORD,1,Large Cap,71.51
212,PRIMA,259,21,6,8,6,ORD,10,Small Cap,13.81
213,VECTD,90,16,4,9,3,A,10,Mid Cap,40.16
214,NIMBP,61,20,6,9,3,ORD,1,Small Cap,17.66
215,STERW,228,35,10,3,2,ORD,10,Large Cap,91.49
216,GOLDR,109,28,8,6,4,B,1,Small Cap,18.43
217,NIMBG,104,22,6,4,3,ORD,10,Large Cap,144.03
218,BLUEL,93,1,1,7,5,A,1,Large Cap,99.17
219,FALCE,29,31,9,4,3,B,10,Mid Cap,72.04
220,PIONB,87,1,1,11,8,B,1,Small Cap,18.09
221,VERTG,178,12,3,9,3,ORD,1,Large Cap,159.02
222,CRYSB,173,19,5,2,1,ORD,10,Large Cap,140.56
223,HARBI,19,28,8,8,6,A,1,Small Cap,28.13
224,EASTY,313,28,8,6,4,ORD,10,Mid Cap,34.81
225,STERG,179,6,2,2,1,ORD,1,Large Cap,216.6
226,STERN,58,27,7,10,7,ORD,1,Mid Cap,26.82
227,NOVAU,15,32,9,11,8,ADR,1,Small Cap,19.27
228,ALPHG,35,6,2,6,4,A,10,Mid Cap,63.07
229,HARBT,249,17,5,1,1,ADR,100,Small Cap,27.36
230,APEXF,304,31,9,3,2,ORD,10,Mid Cap,20.34
231,ATLAV,198,28,8,11,8,ORD,10,Large Cap,63.48
232,NIMBK,63,24,7,3,2,ORD,1,Large Cap,210.24
233,WESTT,157,26,7,10,7,A,10,Mid Cap,46.03
234,CRESC,207,39,11,5,3,ORD,10,Large Cap,44.14
235,ORIOB,13,13,4,5,3,B,1,Mid Cap,55.74
236,NOVAK,163,19,5,7,5,ORD,1,Small Cap,19.49
237,NORTS,102,23,6,11,8,ORD,10,Small Cap,23.23
238,EMERK,311,34,10,4,3,A,1,Large Cap,211.95
239,PIONX,226,29,8,2,1,B,10,Mid Cap,39.68
240,ATLAF,64,12,3,10,7,A,1,Large Cap,162.49
241,IRONI,25,4,1,4,3,ORD,1,Large Cap,132.55
242,VERTR,137,24,7,5,3,ORD,10,Small Cap,11.44
243,EASTE,290,17,5,5,3,ORD,10,Mid Cap,27.99
244,STERR,298,8,2,5,3,ORD,1,Large Cap,77.05
245,APEXT,152,24,7,10,7,A,1,Large Cap,46.04
246,IRONR,14,21,6,11,8,A,100,Large Cap,85.49
247,SUMMD,261,31,9,7,5,ORD,1,Large Cap,130.09
248,APEXN,252,39,11,4,3,ORD,1,Mid Cap,65.07
249,VECTV,250,25,7,9,3,ORD,100,Large Cap,248.07
250,HARBO,19,28,8,8,6,ORD,10,Mid Cap,39.27
251,NIMBU,301,3,1,8,6,ORD,10,Large Cap,127.44
252,HARBQ,1,31,9,9,3,ORD,100,Mid Cap,58.08
253,LIBEW,223,2,1,6,4,ORD,1,Large Cap,115.21
254,PIONU,87,1,1,11,8,ORD,1,Small Cap,18.06
255,CRYSL,246,1,1,11,8,ORD,100,Mid Cap,25.01
256,VECTZ,250,25,7,9,3,ORD,1,Large Cap,99.11
257,FALCL,28,15,4,6,4,ORD,10,Mid Cap,66.38
258,PRIMX,12,11,3,4,3,ORD,10,Small Cap,21.53
259,EASTK,255,16,4,4,3,ORD,1,Large Cap,92.63
260,CRYSA,91,13,4,9,3,ORD,10,Large Cap,73.62
261,PIONK,69,26,7,4,3,ORD,1,Large Cap,83.44
262,GOLDV,271,1,1,7,5,B,1,Small Cap,8.46
263,APEXH,304,31,9,3,2,ADR,1,Small Cap,31.83
264,GLOBO,185,26,7,5,3,ORD,1,Mid Cap,35.23
265,ORIOM,306,32,9,8,6,B,1,Mid Cap,106.44
266,BLUET,275,10,3,9,3,ORD,10,Large Cap,64.52
267,HARBJ,233,39,11,11,8,ORD,1,Mid Cap,51.59
268,COBAS,159,5,2,7,5,ORD,1,Small Cap,20.74
269,ORIOT,257,29,8,8,6,A,1,Mid Cap,85.57
270,NOVAE,277,3,1,4,3,ORD,1,Mid Cap,51.92
271,EASTL,313,28,8,6,4,ORD,1,Small Cap,15.93
272,SUMMX,73,19,5,11,8,ORD,100,Large Cap,79.94
273,NOVAH,56,23,6,8,6,B,1,Mid Cap,28.05
274,VECTW,160,23,6,5,3,B,1,Mid Cap,89.64
275,NOVAZ,54,36,10,7,5,ORD,1,Mid Cap,59.19
276,HARBY,213,35,10,4,3,ORD,1,Mid Cap,68.26
277,SUMMJ,27,36,10,4,3,A,1,Mid Cap,80.43
278,EASTI,290,17,5,5,3,ORD,1,Large Cap,80.41
279,ATLAC,198,28,8,11,8,ORD,100,Mid Cap,88.79
280,WESTS,247,16,4,4,3,A,1,Large Cap,249.94
281,NOVAX,85,3,1,3,2,ORD,10,Large Cap,114.11
282,LIBEU,191,8,2,9,3,ADR,1,Large Cap,136.08
283,BLUEN,93,1,1,7,5,ORD,1,Large Cap,94.35
284,STERO,108,5,2,11,8,ORD,10,Large Cap,110.63
285,SUMMU,261,31,9,7,5,ORD,10,Large Cap,79.22
286,ATLAM,198,28,8,11,8,A,1,Mid Cap,46.55
287,QUANM,312,33,9,7,5,ORD,1,Large Cap,112.19
288,VERTO,260,25,7,6,4,ORD,1,Large Cap,304.67
289,GOLDY,89,6,2,4,3,A,10,Large Cap,127.61
290,FALCZ,162,32,9,5,3,ADR,100,Large Cap,74.73
291,EASTP,167,34,10,7,5,ORD,10,Small Cap,11.07
292,FALCI,28,15,4,6,4,ORD,10,Mid Cap,85.05
293,ORIOS,211,6,2,3,2,ORD,1,Small Cap,20.8
294,DYNAS,254,6,2,9,3,ORD,1,Large Cap,81.61
295,SUMMR,236,2,1,6,4,ORD,10,Large Cap,300.09
296,VERTX,41,16,4,10,7,ORD,1,Small Cap,15.26
297,CRYSG,221,20,6,10,7,B,1,Mid Cap,88.42
298,WESTB,302,22,6,4,3,ORD,10,Large Cap,149.35
299,EASTF,303,19,5,6,4,B,100,Large Cap,135.54
300,STERJ,9,28,8,3,2,B,1,Large Cap,62.04
301,DYNAH,45,14,4,3,2,ORD,1,Large Cap,120.99
302,ALPHS,60,18,5,6,4,ORD,1,Small Cap,19.0
303,IRONT,86,21,6,11,8,ORD,1,Mid Cap,124.97
304,CRYSO,100,8,2,7,5,ORD,10,Mid Cap,56.55
305,SUMMG,219,32,9,10,7,ORD,10,Small Cap,12.48
306,SILVJ,318,19,5,3,2,ORD,10,Large Cap,134.91
307,CRYSP,110,5,2,10,7,ORD,10,Mid Cap,93.31
308,SILVQ,67,36,10,8,6,B,10,Small Cap,21.1
309,IRONL,146,12,3,7,5,ORD,10,Large Cap,84.13
310,SILVF,156,17,5,10,7,A,1,Mid Cap,63.74
311,VECTL,250,25,7,9,3,B,1,Large Cap,121.32
312,ATLAS,198,28,8,11,8,ORD,1,Large Cap,155.14
313,HARBH,213,35,10,4,3,B,1,Large Cap,217.07
314,SILVH,122,34,10,4,3,ORD,100,Large Cap,98.9
315,WESTJ,247,16,4,4,3,ORD,10,Large Cap,110.02
316,STERC,296,20,6,4,3,ORD,100,Large Cap,97.37
317,EMERG,311,34,10,4,3,ORD,1,Mid Cap,46.39
318,COBAA,48,1,1,3,2,ORD,1,Mid Cap,81.61
319,HARBK,184,38,11,6,4,A,10,Large Cap,48.78
320,SUMMN,261,31,9,7,5,ORD,100,Small Cap,20.52
321,BLUEG,111,1,1,8,6,ORD,10,Large Cap,104.62
322,VERTQ,231,27,7,7,5,ORD,10,Large Cap,68.32
323,SILVY,287,22,6,3,2,ORD,1,Small Cap,30.53
324,GOLDO,310,34,10,6,4,ORD,100,Small Cap,34.27
325,QUANJ,216,35,10,3,2,ORD,10,Mid Cap,107.8
326,SUMMA,317,22,6,3,2,ADR,100,Mid Cap,71.11
327,GOLDI,285,38,11,4,3,ORD,1,Large Cap,352.85
328,NOVAA,56,23,6,8,6,ORD,10,Mid Cap,66.16
329,GLOBL,30,33,9,10,7,ORD,1,Small Cap,15.55
330,FALCJ,8,20,6,5,3,ORD,100,Large Cap,79.11
331,SUMMS,280,18,5,11,8,ORD,10,Mid Cap,54.64
332,COBAT,244,12,3,6,4,ADR,100,Mid Cap,169.81
333,EMERP,188,34,10,10,7,ORD,1,Large Cap,94.76
334,GLOBS,49,29,8,8,6,ORD,1,Mid Cap,30.95
335,NOVAP,163,19,5,7,5,B,1,Large Cap,204.14
336,VECTP,76,24,7,9,3,ORD,1,Small Cap,47.06
337,EMERX,267,10,3,8,6,ORD,10,Mid Cap,38.68
338,DYNAT,71,15,4,8,6,ORD,10,Mid Cap,27.94
339,CRESS,141,3,1,11,8,ORD,100,Large Cap,77.76
340,WESTC,127,11,3,4,3,ORD,10,Small Cap,16.42
341,APEXV,139,23,6,6,4,ORD,100,Mid Cap,70.0
342,NOVAW,78,17,5,9,3,ORD,1,Small Cap,13.17
343,CRYSR,150,23,6,3,2,ORD,1,Small Cap,19.84
344,GOLDA,320,18,5,7,5,ORD,1,Small Cap,33.75
345,DYNAI,4,18,5,8,6,ORD,1,Small Cap,22.19
346,APEXS,152,24,7,10,7,A,1,Small Cap,15.99
347,NIMBF,129,9,3,4,3,ORD,1,Mid Cap,45.61
348,SUMMT,27,36,10,4,3,ORD,1,Large Cap,136.1
349,DYNAY,74,8,2,3,2,A,10,Mid Cap,82.15
350,SUMMI,236,2,1,6,4,B,1,Large Cap,122.41
351,ORIOR,306,32,9,8,6,ORD,1,Small Cap,15.0
352,ORIOZ,121,34,10,9,3,ORD,10,Mid Cap,23.66
353,DYNAK,18,33,9,4,3,ORD,1,Mid Cap,55.74
354,VERTY,315,20,6,3,2,A,10,Mid Cap,44.57
355,COBAY,120,39,11,9,3,ORD,1,Small Cap,20.03
356,PRIMH,12,11,3,4,3,ORD,1,Mid Cap,67.43
357,NOVAT,24,37,11,7,5,ORD,100,Large Cap,291.34
358,GLOBM,284,19,5,5,3,ORD,10,Small Cap,18.73
359,EASTR,290,17,5,5,3,ORD,10,Large Cap,137.95
360,ALPHZ,35,6,2,6,4,ORD,100,Mid Cap,42.78
361,VECTR,305,32,9,11,8,ORD,1,Mid Cap,90.47
362,VERTV,178,12,3,9,3,ORD,10,Large Cap,81.85
363,GOLDX,307,15,4,1,1,A,10,Mid Cap,52.87
364,SILVL,122,34,10,4,3,ORD,100,Large Cap,148.54
365,STERU,165,22,6,9,3,ORD,10,Mid Cap,52.66
366,GLOBT,80,11,3,4,3,ORD,10,Mid Cap,66.27
367,EMERJ,229,27,7,4,3,ORD,1,Mid Cap,43.39
368,ALPHW,217,10,3,8,6,A,10,Mid Cap,30.67
369,SILVR,227,39,11,4,3,ORD,1,Large Cap,101.66
370,QUANG,215,23,6,5,3,ORD,10,Small Cap,20.74
371,HARBF,274,1,1,3,2,B,10,Mid Cap,22.77
372,SILVO,122,34,10,4,3,ORD,100,Small Cap,13.53
373,HARBD,55,32,9,7,5,ORD,1,Large Cap,89.69
374,WESTE,7,10,3,4,3,B,10,Large Cap,245.45
375,SUMMH,107,24,7,7,5,ORD,1,Large Cap,90.92
376,EASTM,106,8,2,2,1,ORD,100,Large Cap,141.12
377,PRIMM,12,11,3,4,3,B,10,Mid Cap,55.06
378,EMERC,145,1,1,9,3,ORD,1,Mid Cap,64.06
379,GLOBP,49,29,8,8,6,ORD,1,Large Cap,112.96
380,WESTW,79,9,3,9,3,ORD,100,Large Cap,120.22
381,NIMBQ,51,34,10,9,3,A,10,Mid Cap,10.9
382,WESTM,62,12,3,3,2,B,10,Large Cap,80.87
383,APEXQ,299,38,11,4,3,A,1,Large Cap,136.9
384,VECTE,305,32,9,11,8,ORD,1,Large Cap,85.96
385,FALCB,37,37,11,3,2,A,10,Mid Cap,42.19
386,EMERI,286,21,6,8,6,ORD,1,Mid Cap,38.43
387,LIBEQ,187,34,10,7,5,ORD,10,Small Cap,26.35
388,VECTA,197,2,1,3,2,ORD,1,Small Cap,12.04
389,NIMBS,61,20,6,9,3,A,100,Small Cap,13.04
390,CRYSS,282,19,5,9,3,ORD,100,Mid Cap,83.64
391,EASTU,255,16,4,4,3,ORD,1,Mid Cap,82.79
392,LIBEP,187,34,10,7,5,ORD,100,Small Cap,43.15
393,IRONS,10,8,2,8,6,ORD,1,Small Cap,13.72
394,PIONV,269,19,5,1,1,ORD,1,Small Cap,13.71
395,BLUEH,26,11,3,3,2,ORD,1,Small Cap,13.72
396,ORIOG,118,18,5,10,7,ORD,1,Large Cap,129.48
397,FALCD,220,17,5,11,8,ORD,1,Small Cap,9.47
398,EASTT,313,28,8,6,4,ORD,1,Large Cap,155.33
399,WESTO,7,10,3,4,3,ORD,1,Large Cap,75.76
400,BLUEA,192,19,5,7,5,ORD,10,Large Cap,127.32
