issuer_key,issuer_name,country_key,industry_key
121,Orion Networks,8,34
122,Silver Media,3,34
123,Vector Pharma,2,14
124,Future Industries,5,4
125,Crescent Capital,1,37
126,Orion Electric,10,30
127,West Devices,3,11
128,Harbor Logistics,7,20
129,Nimbus Holdings,3,9
130,Silver Services,7,24
131,Nova Devices,7,11
132,Cobalt Finance,8,8
133,Vertex Infrastructure,5,35
134,Crescent Finance plc,8,38
135,West Air plc,9,7
136,Global Services plc,6,2
137,Vertex Finance,4,24
138,Crystal Finance plc,1,30
139,Apex Pharma,5,23
140,Quantum Systems,1,1
141,Crescent Foods,10,3
142,Prime Capital,2,14
143,West Software,4,27
144,Blue Media,9,32
145,Emerald Motors plc,8,1
146,Iron Trust plc,6,12
147,East Mining,2,2
148,Dynamic Health,9,27
149,Atlas Resources,3,36
150,Crystal Logistics plc,2,23
151,Iron Infrastructure,4,33
152,Apex Energy,9,24
153,Sterling Technologies,6,14
154,Sterling Bioscience plc,10,3
155,Pioneer Services plc,3,4
156,Silver Motors,9,17
157,West Energy plc,9,26
158,Orion Technologies plc,7,21
159,Cobalt Retail,6,5
160,Vector Brands,4,23
161,Emerald Electric plc,6,39
162,Falcon Resources,4,32
163,Nova Partners,6,19
164,Liberty Media,2,24
165,Sterling Group,8,22
166,Summit Telecom plc,9,15
167,East Holdings,6,34
168,Atlas Health plc,7,34
169,Crystal Telecom,3,14
170,Cobalt Resources,9,16
171,Silver Partners,7,17
172,Global Networks,3,30
173,Crystal Infrastructure,1,19
174,Orion Brands,8,29
175,Nova Brands plc,6,19
176,Blue Devices plc,5,12
177,Crystal Services plc,1,13
178,Vertex Devices plc,8,12
179,Sterling Services plc,1,6
180,East Logistics,10,38
181,Quantum Software,2,21
182,Alpha Holdings,6,1
183,Nimbus Media,4,12
184,Harbor Media plc,5,38
185,Global Air,4,26
186,Liberty Pharma,8,37
187,Liberty Materials,6,34
188,Emerald Energy,9,34
189,East Mining plc,1,30
190,Alpha Retail plc,5,35
191,Liberty Holdings,8,8
192,Blue Mining plc,6,19
193,West Pharma,4,6
194,Falcon Materials plc,10,13
195,Quantum Finance,9,28
196,Iron Infrastructure plc,2,26
197,Vector Finance,2,2
198,Atlas Holdings plc,10,28
199,Apex Electric,6,6
200,Golden Systems,7,33
201,Atlas Health,1,8
202,North Retail,2,33
203,Quantum Services plc,3,10
204,Blue Materials plc,3,19
205,East Telecom plc,10,34
206,Global Holdings,3,18
207,Crescent Pharma,4,39
208,Silver Logistics,7,18
209,North Partners,6,35
210,Golden Bioscience,5,31
211,Orion Energy plc,2,6
212,Sterling Logistics plc,3,26
213,Harbor Technologies,3,35
214,Golden Finance,8,5
215,Quantum Mining plc,4,23
216,Quantum Health,2,35
217,Alpha Energy,7,10
218,Prime Pharma,5,7
219,Summit Telecom,9,32
220,Falcon Brands,10,17
221,Crystal Trust plc,9,20
222,Future Energy,8,4
223,Liberty Pharma plc,5,2
224,Vector Group plc,6,34
225,Vertex Electric plc,2,8
226,Pioneer Electric,1,29
227,Silver Motors plc,3,39
228,Sterling Devices,2,35
229,Emerald Networks plc,3,27
230,Atlas Foods plc,8,14
231,Vertex Mining,6,27
232,Apex Networks plc,10,6
233,Harbor Brands,10,39
234,Vector Bioscience,5,1
235,Atlas Networks,2,38
236,Summit Retail,5,2
237,Alpha Health plc,8,21
238,Dynamic Bioscience plc,4,15
239,Emerald Mining plc,8,39
240,Crystal Electric,9,7
241,Vector Health,1,12
242,Summit Infrastructure,1,11
243,Vector Telecom,3,17
244,Cobalt Materials plc,5,12
245,West Capital,10,18
246,Crystal Media,10,1
247,West Foods,3,16
248,Emerald Materials,8,35
249,Harbor Retail,1,17
250,Vector Energy,8,25
251,Orion Infrastructure plc,8,25
252,Apex Retail plc,3,39
253,Iron Health plc,9,32
254,Dynamic Media,8,6
255,East Industries,3,16
256,Falcon Finance plc,4,30
257,Orion Partners,7,29
258,West Group,6,28
259,Prime Systems,7,21
260,Vertex Foods plc,5,25
261,Summit Partners,6,31
262,Future Resources plc,10,24
263,Nova Brands,6,13
264,Harbor Systems,7,14
265,Sterling Partners,10,5
266,North Telecom,5,32
267,Emerald Bioscience,7,10
268,Dynamic Motors,1,28
269,Pioneer Group,1,19
270,Falcon Mining,4,5
271,Golden Mining,6,1
272,Crystal Pharma plc,3,36
273,North Services,4,35
274,Harbor Foods,2,1
275,Blue Infrastructure,8,10
276,Silver Mining,6,20
277,Nova Capital plc,3,3
278,Golden Resources plc,3,15
279,Apex Partners,6,32
280,Summit Health,10,18
281,Vector Holdings,3,22
282,Crystal Energy,8,19
283,Prime Energy,4,36
284,Global Software,4,19
285,Golden Group,3,38
286,Emerald Bioscience plc,7,21
287,Silver Resources,2,22
288,Nova Technologies,5,15
289,Vector Electric plc,9,39
290,East Health,4,17
291,North Materials,10,19
292,Summit Trust,5,3
293,Nimbus Energy,1,15
294,Prime Brands plc,5,34
295,Apex Air,4,30
296,Sterling Logistics,3,20
297,Liberty Infrastructure,10,11
298,Sterling Foods,4,8
299,Apex Resources,3,38
300,Alpha Bioscience,5,37
301,Nimbus Industries,7,3
302,West Bioscience plc,3,22
303,East Materials,5,19
304,Apex Brands,2,31
305,Vector Retail,10,32
306,Orion Pharma,7,32
307,Golden Software,1,15
308,Golden Air,9,5
309,Dynamic Trust plc,5,5
310,Golden Infrastructure plc,5,34
311,Emerald Software,3,34
312,Quantum Resources,6,33
313,East Resources,5,28
314,Nimbus Pharma plc,10,26
315,Vertex Motors,2,20
316,Alpha Trust plc,10,16
317,Summit Capital,2,22
318,Silver Bioscience,2,19
319,Iron Energy,10,27
320,Golden Brands,6,18
