trade_id,trade_timestamp,trade_date,settlement_date,stock_key,issuer_key,industry_key,sector_key,exchange_key,currency_key,account_key,trader_key,broker_key,buy_sell_flag,execution_venue,order_type,quantity,price_local,gross_amount_local,commission_local,net_amount_local,fx_to_usd,gross_amount_usd,commission_usd,net_amount_usd
T202511060110000037,2025-11-06 14:44:43,2025-11-06,2025-11-09,110,220,17,5,11,8,34,49,11,S,Algo,Limit,1000,147.3356,147335.6,20.42,147315.18,0.684553,100859.03,13.98,100845.05
T202508220342000038,2025-08-22 08:24:35,2025-08-22,2025-08-26,342,78,17,5,9,3,33,44,8,B,Algo,Market,500,14.499,7249.5,2.61,-7252.11,1.097331,7955.1,2.86,-7957.97
T202503130158000039,2025-03-13 03:19:36,2025-03-13,2025-03-15,158,278,15,4,4,3,9,50,8,B,Algo,Limit,5000,30.6548,153274.0,42.78,-153316.78,1.100379,168659.49,47.07,-168706.57
T202406140133000040,2024-06-14 18:50:04,2024-06-14,2024-06-16,133,127,11,3,4,3,38,45,12,B,Cross,Limit,50000,6.6446,332230.0,51.78,-332281.78,1.092852,363078.22,56.59,-363134.81
T202409020167000041,2024-09-02 17:09:16,2024-09-02,2024-09-05,167,27,36,10,4,3,30,55,6,S,Algo,Market,100000,42.7395,4273950.0,1371.51,4272578.49,1.091954,4666956.8,1497.63,4665459.17
T202411070281000042,2024-11-07 05:37:46,2024-11-07,2024-11-09,281,85,3,1,3,2,38,32,1,S,DMA,TWAP,2000,110.974,221948.0,52.58,221895.42,1.262906,280299.46,66.4,280233.06
T202409130338000043,2024-09-13 03:10:09,2024-09-13,2024-09-17,338,71,15,4,8,6,2,20,3,B,Algo,TWAP,2000,28.1752,56350.4,25.64,-56376.04,1.106769,62366.88,28.38,-62395.25
T202410180022000044,2024-10-18 04:36:13,2024-10-18,2024-10-21,22,192,19,5,7,5,10,31,3,B,DMA,Limit,1500,114.3441,171516.15,13.5,-171529.65,0.727018,124695.33,9.81,-124705.14
T202401100199000045,2024-01-10 09:50:24,2024-01-10,2024-01-13,199,200,33,9,8,6,9,36,11,B,DMA,Limit,2000,58.5932,117186.4,39.13,-117225.53,1.106443,129660.07,43.3,-129703.37
T202403140197000046,2024-03-14 23:21:43,2024-03-14,2024-03-17,197,40,32,9,11,8,6,47,5,B,DMA,Limit,20000,62.8447,1256894.0,240.37,-1257134.37,0.666444,837649.46,160.19,-837809.66
T202502030164000047,2025-02-03 11:19:13,2025-02-03,2025-02-05,164,292,3,1,6,4,4,60,7,B,DMA,Limit,100,46.4488,4644.88,0.56,-4645.44,0.006776,31.47,0.0,-31.48
T202402200295000048,2024-02-20 00:01:12,2024-02-20,2024-02-23,295,236,2,1,6,4,28,12,1,S,Algo,Market,1000,286.2961,286296.1,122.32,286173.78,0.006727,1925.91,0.82,1925.09
T202401070312000049,2024-01-07 09:52:38,2024-01-07,2024-01-10,312,198,28,8,11,8,15,54,8,B,Algo,VWAP,300,143.189,42956.7,19.41,-42976.11,0.657355,28237.8,12.76,-28250.56
T202410200006000050,2024-10-20 09:23:24,2024-10-20,2024-10-24,6,162,32,9,5,3,4,21,4,S,Algo,Limit,20000,79.142,1582840.0,503.61,1582336.39,1.110929,1758422.86,559.47,1757863.38
T202407070117000051,2024-07-07 07:41:27,2024-07-07,2024-07-09,117,146,12,3,7,5,18,13,1,B,DMA,Limit,20000,155.477,3109540.0,729.47,-3110269.47,0.732909,2279009.85,534.64,-2279544.49
T202505020139000052,2025-05-02 12:56:19,2025-05-02,2025-05-04,139,274,1,1,3,2,10,29,8,S,Algo,Market,200,112.827,22565.4,6.65,22558.75,1.271055,28681.86,8.45,28673.41
T202512110196000053,2025-12-11 19:04:36,2025-12-11,2025-12-15,196,55,32,9,7,5,15,9,2,B,DMA,VWAP,10000,194.4436,1944436.0,710.79,-1945146.79,0.747285,1453047.86,531.16,-1453579.02
T202403210392000054,2024-03-21 19:08:23,2024-03-21,2024-03-24,392,187,34,10,7,5,32,60,7,B,Cross,Market,30000,38.0148,1140444.0,91.52,-1140535.52,0.735737,839066.85,67.33,-839134.18
T202409250097000055,2024-09-25 14:42:49,2024-09-25,2024-09-29,97,276,20,6,7,5,17,43,7,S,Voice,Market,100,49.3423,4934.23,1.86,4932.37,0.760897,3754.44,1.42,3753.03
T202509040125000056,2025-09-04 05:48:01,2025-09-04,2025-09-07,125,250,25,7,9,3,7,15,4,B,Voice,Market,3000,46.3312,138993.6,64.22,-139057.82,1.092259,151817.01,70.14,-151887.16
T202407220009000057,2024-07-22 23:28:46,2024-07-22,2024-07-24,9,258,28,8,7,5,17,8,3,B,Algo,Limit,3000,9.1754,27526.2,3.36,-27529.56,0.746124,20537.96,2.51,-20540.47
T202504130321000058,2025-04-13 01:47:35,2025-04-13,2025-04-16,321,111,1,1,8,6,7,16,11,B,Voice,Arrival,5000,97.4933,487466.5,136.72,-487603.22,1.100214,536317.47,150.42,-536467.89
T202409040065000059,2024-09-04 07:46:12,2024-09-04,2024-09-06,65,128,20,6,8,6,24,40,10,B,Algo,Market,30000,49.4197,1482591.0,534.81,-1483125.81,1.097385,1626973.12,586.89,-1627560.02
T202501230031000060,2025-01-23 13:09:46,2025-01-23,2025-01-25,31,298,8,2,5,3,8,26,7,S,Voice,Limit,150000,122.5023,18375345.0,2647.47,18372697.53,1.088559,20002647.18,2881.93,19999765.25
T202402250031000061,2024-02-25 09:27:59,2024-02-25,2024-02-29,31,298,8,2,5,3,28,59,7,B,Voice,VWAP,100000,108.0663,10806630.0,4397.56,-10811027.56,1.091831,11799013.64,4801.39,-11803815.03
T202508210285000062,2025-08-21 06:22:42,2025-08-21,2025-08-25,285,261,31,9,7,5,14,57,6,S,Algo,Market,15000,69.0642,1035963.0,154.91,1035808.09,0.751855,778893.96,116.47,778777.49
T202508190168000063,2025-08-19 10:59:21,2025-08-19,2025-08-22,168,107,24,7,7,5,2,53,12,B,DMA,Arrival,800,167.042,133633.6,27.08,-133660.68,0.73367,98042.96,19.87,-98062.83
T202504270268000064,2025-04-27 01:35:18,2025-04-27,2025-04-30,268,159,5,2,7,5,23,37,2,S,Algo,Market,500,19.5139,9756.95,3.95,9753.0,0.724392,7067.86,2.86,7065.0
T202508310055000065,2025-08-31 04:10:39,2025-08-31,2025-09-02,55,247,16,4,4,3,1,48,11,S,Cross,Market,200,59.2245,11844.9,3.53,11841.37,1.078595,12775.85,3.81,12772.04
T202401220319000066,2024-01-22 03:53:10,2024-01-22,2024-01-25,319,184,38,11,6,4,3,45,5,S,DMA,Market,1000,48.3594,48359.4,11.92,48347.48,0.006922,334.74,0.08,334.66
T202403110235000067,2024-03-11 17:18:22,2024-03-11,2024-03-15,235,13,13,4,5,3,25,59,8,S,Voice,Market,1000,53.773,53773.0,16.51,53756.49,1.080108,58080.65,17.83,58062.81
T202404010234000068,2024-04-01 11:14:51,2024-04-01,2024-04-03,234,207,39,11,5,3,6,4,3,B,Algo,Limit,20000,45.4476,908952.0,237.05,-909189.05,1.064084,967201.28,252.24,-967453.52
T202507130001000069,2025-07-13 00:51:42,2025-07-13,2025-07-17,1,226,29,8,1,1,35,18,10,S,DMA,VWAP,8000,21.5534,172427.2,18.09,172409.11,1.0,172427.2,18.09,172409.11
T202407160016000070,2024-07-16 15:38:40,2024-07-16,2024-07-18,16,309,5,2,6,4,23,16,5,B,DMA,TWAP,10000,84.5462,845462.0,83.88,-845545.88,0.00694,5867.51,0.58,-5868.09
T202509060071000071,2025-09-06 12:21:43,2025-09-06,2025-09-08,71,161,39,11,7,5,14,39,8,B,DMA,Arrival,1000,98.7798,98779.8,13.6,-98793.4,0.757201,74796.16,10.3,-74806.46
T202408110233000072,2024-08-11 02:52:48,2024-08-11,2024-08-13,233,157,26,7,10,7,30,34,7,B,Algo,Limit,1000,48.4021,48402.1,13.98,-48416.08,0.095867,4640.16,1.34,-4641.5
T202505130248000073,2025-05-13 01:41:31,2025-05-13,2025-05-15,248,252,39,11,4,3,31,58,8,S,Cross,Limit,200,66.8742,13374.84,2.45,13372.39,1.097228,14675.25,2.69,14672.56
T202504130314000074,2025-04-13 06:08:12,2025-04-13,2025-04-16,314,122,34,10,4,3,12,22,10,S,DMA,TWAP,200000,90.6307,18126140.0,5820.7,18120319.3,1.102698,19987658.33,6418.47,19981239.85
T202504120391000075,2025-04-12 07:46:26,2025-04-12,2025-04-15,391,255,16,4,4,3,2,16,12,B,Algo,Market,500,85.0479,42523.95,15.0,-42538.95,1.082675,46039.62,16.24,-46055.86
T202511190391000076,2025-11-19 19:46:36,2025-11-19,2025-11-23,391,255,16,4,4,3,6,21,9,B,Voice,Limit,800,71.8716,57497.28,2.87,-57500.15,1.109265,63779.72,3.18,-63782.9
T202402290125000077,2024-02-29 01:20:41,2024-02-29,2024-03-03,125,250,25,7,9,3,4,37,12,S,Algo,Limit,1000,50.317,50317.0,13.74,50303.26,1.092177,54955.07,15.01,54940.06
T202408010166000078,2024-08-01 14:43:11,2024-08-01,2024-08-03,166,98,35,10,1,1,12,8,8,B,Algo,Limit,1000,72.3728,72372.8,21.13,-72393.93,1.0,72372.8,21.13,-72393.93
T202409110346000079,2024-09-11 22:16:27,2024-09-11,2024-09-13,346,152,24,7,10,7,5,21,12,B,DMA,VWAP,500,14.8232,7411.6,1.08,-7412.68,0.094297,698.89,0.1,-698.99
T202506230375000080,2025-06-23 11:44:42,2025-06-23,2025-06-27,375,107,24,7,7,5,40,2,2,S,Algo,Limit,200,92.5782,18515.64,4.95,18510.69,0.764379,14152.97,3.78,14149.18
T202405270038000081,2024-05-27 23:03:06,2024-05-27,2024-05-30,38,298,8,2,5,3,7,56,3,B,Algo,Limit,300,64.0984,19229.52,7.68,-19237.2,1.091927,20997.23,8.39,-21005.62
T202410150080000082,2024-10-15 16:59:38,2024-10-15,2024-10-18,80,258,28,8,7,5,27,44,9,B,Algo,Arrival,300,53.5385,16061.55,2.0,-16063.55,0.74981,12043.11,1.5,-12044.61
T202503270365000083,2025-03-27 07:54:45,2025-03-27,2025-03-30,365,165,22,6,9,3,17,31,5,B,DMA,VWAP,2000,57.484,114968.0,48.74,-115016.74,1.046428,120305.73,51.0,-120356.74
T202408210319000084,2024-08-21 21:53:32,2024-08-21,2024-08-23,319,184,38,11,6,4,32,12,6,B,Cross,Market,1000,47.2204,47220.4,5.75,-47226.15,0.007074,334.04,0.04,-334.08
T202409200149000085,2024-09-20 03:28:34,2024-09-20,2024-09-24,149,141,3,1,11,8,16,34,10,S,DMA,Limit,200,118.0276,23605.52,6.27,23599.25,0.6701,15818.06,4.2,15813.86
T202511020199000086,2025-11-02 13:11:29,2025-11-02,2025-11-04,199,200,33,9,8,6,21,16,10,B,Algo,Arrival,1000,62.9009,62900.9,15.67,-62916.57,1.074598,67593.18,16.84,-67610.02
T202506120164000087,2025-06-12 08:31:13,2025-06-12,2025-06-14,164,292,3,1,6,4,6,55,9,B,Voice,Limit,500,42.8886,21444.3,5.79,-21450.09,0.00667,143.03,0.04,-143.07
T202410310055000088,2024-10-31 12:14:45,2024-10-31,2024-11-03,55,247,16,4,4,3,21,17,2,S,Algo,TWAP,800,57.8495,46279.6,11.93,46267.67,1.111623,51445.47,13.26,51432.21
T202512280151000089,2025-12-28 19:23:23,2025-12-28,2025-12-30,151,41,16,4,10,7,8,14,10,S,Algo,VWAP,1000,28.6915,28691.5,1.43,28690.07,0.094607,2714.42,0.14,2714.28
T202409250100000090,2024-09-25 16:58:57,2024-09-25,2024-09-27,100,44,4,1,6,4,9,43,9,S,Algo,Limit,2000,66.6075,133215.0,32.88,133182.12,0.006815,907.86,0.22,907.64
T202502030003000091,2025-02-03 19:25:08,2025-02-03,2025-02-07,3,110,5,2,10,7,28,22,10,B,Algo,Limit,2000,71.2498,142499.6,59.92,-142559.52,0.094195,13422.75,5.64,-13428.39
T202412310188000092,2024-12-31 11:32:44,2024-12-31,2025-01-04,188,196,26,7,3,2,11,55,11,B,Algo,Limit,30000,15.5007,465021.0,274.9,-465295.9,1.267012,589187.19,348.3,-589535.49
T202504250289000093,2025-04-25 23:43:49,2025-04-25,2025-04-28,289,89,6,2,4,3,16,37,2,B,DMA,Limit,1000,126.2142,126214.2,35.03,-126249.23,1.078311,136098.16,37.77,-136135.93
T202405080318000094,2024-05-08 23:54:26,2024-05-08,2024-05-12,318,48,1,1,3,2,33,45,4,B,DMA,Limit,800,79.1698,63335.84,21.1,-63356.94,1.225405,77612.06,25.86,-77637.91
T202402100376000095,2024-02-10 23:38:00,2024-02-10,2024-02-12,376,106,8,2,2,1,2,57,3,S,Algo,Limit,10000,132.956,1329560.0,401.9,1329158.1,1.0,1329560.0,401.9,1329158.1
T202508020220000096,2025-08-02 18:15:56,2025-08-02,2025-08-06,220,87,1,1,11,8,39,32,9,S,Cross,VWAP,300,17.1532,5145.96,1.95,5144.01,0.682665,3512.97,1.33,3511.64
T202405250227000097,2024-05-25 09:17:03,2024-05-25,2024-05-29,227,15,32,9,11,8,7,46,5,B,Algo,VWAP,100,19.5876,1958.76,0.64,-1959.4,0.668582,1309.59,0.43,-1310.02
T202512200182000098,2025-12-20 07:15:17,2025-12-20,2025-12-22,182,181,21,6,3,2,16,11,1,S,Cross,TWAP,300,98.5193,29555.79,6.81,29548.98,1.294796,38268.72,8.82,38259.9
T202411090185000099,2024-11-09 02:52:33,2024-11-09,2024-11-12,185,143,27,7,5,3,23,54,10,S,Algo,Limit,500,40.0822,20041.1,6.8,20034.3,1.078271,21609.74,7.33,21602.4
T202408230172000100,2024-08-23 07:10:27,2024-08-23,2024-08-27,172,20,7,2,6,4,35,3,7,B,Algo,Limit,2000,182.3946,364789.2,37.69,-364826.89,0.006779,2472.91,0.26,-2473.16
T202402070203000101,2024-02-07 10:58:56,2024-02-07,2024-02-10,203,11,25,7,5,3,8,33,7,B,DMA,Market,5000,27.0434,135217.0,52.18,-135269.18,1.099475,148667.71,57.37,-148725.08
T202405300174000102,2024-05-30 03:25:06,2024-05-30,2024-06-03,174,140,1,1,2,1,12,9,10,B,Algo,Limit,50000,52.8187,2640935.0,1032.2,-2641967.2,1.0,2640935.0,1032.2,-2641967.2
T202403010195000103,2024-03-01 22:05:00,2024-03-01,2024-03-03,195,181,21,6,3,2,25,59,1,S,Algo,Market,10000,65.6493,656493.0,196.67,656296.33,1.2801,840376.69,251.76,840124.93
T202412130342000104,2024-12-13 11:01:59,2024-12-13,2024-12-16,342,78,17,5,9,3,36,5,2,S,Algo,Arrival,300,17.3341,5200.23,1.16,5199.07,1.072184,5575.6,1.24,5574.36
T202506070312000105,2025-06-07 01:06:50,2025-06-07,2025-06-11,312,198,28,8,11,8,24,37,7,B,Cross,Limit,2000,146.7552,293510.4,133.59,-293643.99,0.641679,188339.46,85.72,-188425.18
T202501060300000106,2025-01-06 07:38:47,2025-01-06,2025-01-09,300,9,28,8,3,2,32,52,8,B,Algo,Market,200,62.9387,12587.74,2.87,-12590.61,1.272584,16018.96,3.65,-16022.61
T202405200144000107,2024-05-20 08:39:25,2024-05-20,2024-05-24,144,234,1,1,6,4,12,49,5,B,DMA,Arrival,500,33.026,16513.0,3.85,-16516.85,0.006838,112.92,0.03,-112.94
T202408190139000108,2024-08-19 16:26:23,2024-08-19,2024-08-21,139,274,1,1,3,2,38,37,2,B,DMA,Market,1000,122.3104,122310.4,9.22,-122319.62,1.264792,154697.22,11.66,-154708.88
T202506070137000109,2025-06-07 08:29:25,2025-06-07,2025-06-10,137,188,34,10,10,7,26,29,5,S,Voice,VWAP,15000,136.0214,2040321.0,531.51,2039789.49,0.093322,190406.84,49.6,190357.23
T202403080093000110,2024-03-08 07:05:44,2024-03-08,2024-03-10,93,217,10,3,8,6,19,1,10,S,Algo,Market,5000,14.3539,71769.5,26.03,71743.47,1.149169,82475.28,29.91,82445.37
T202502060253000111,2025-02-06 23:28:07,2025-02-06,2025-02-09,253,223,2,1,6,4,13,41,11,S,Algo,Limit,100,117.3469,11734.69,5.77,11728.92,0.007122,83.57,0.04,83.53
T202510220357000112,2025-10-22 12:01:56,2025-10-22,2025-10-25,357,24,37,11,7,5,25,16,2,B,Algo,Market,20000,302.2576,6045152.0,1169.24,-6046321.24,0.754767,4562681.24,882.5,-4563563.74
T202504050022000113,2025-04-05 07:43:09,2025-04-05,2025-04-07,22,192,19,5,7,5,21,31,11,S,Algo,Limit,1000,104.6848,104684.8,37.99,104646.81,0.73256,76687.9,27.83,76660.07
T202409080017000114,2024-09-08 01:32:03,2024-09-08,2024-09-12,17,179,6,2,2,1,32,28,3,S,Algo,Limit,5000,59.2931,296465.5,87.25,296378.25,1.0,296465.5,87.25,296378.25
T202407230058000115,2024-07-23 15:11:14,2024-07-23,2024-07-27,58,93,1,1,7,5,1,1,10,S,DMA,VWAP,2000,113.8161,227632.2,42.14,227590.06,0.752146,171212.65,31.7,171180.95
T202401030387000116,2024-01-03 15:07:28,2024-01-03,2024-01-05,387,187,34,10,7,5,17,15,5,B,Algo,Limit,1000,26.2731,26273.1,4.98,-26278.08,0.732351,19241.13,3.65,-19244.78
T202510040194000117,2025-10-04 08:09:53,2025-10-04,2025-10-08,194,51,34,10,9,3,12,1,11,B,Algo,Limit,1000,40.9733,40973.3,10.76,-40984.06,1.07167,43909.86,11.53,-43921.39
T202512090175000118,2025-12-09 17:04:29,2025-12-09,2025-12-12,175,263,13,4,7,5,3,8,12,S,Algo,Limit,3000,20.9099,62729.7,9.68,62720.02,0.739659,46398.59,7.16,46391.43
T202412230121000119,2024-12-23 23:54:01,2024-12-23,2024-12-25,121,207,39,11,5,3,38,20,12,S,Algo,Limit,10000,90.989,909890.0,200.72,909689.28,1.069841,973437.63,214.74,973222.89
T202411230189000120,2024-11-23 10:23:10,2024-11-23,2024-11-26,189,260,25,7,6,4,8,59,12,S,DMA,TWAP,500,12.2792,6139.6,2.66,6136.94,0.006952,42.68,0.02,42.66
T202501010371000121,2025-01-01 17:54:05,2025-01-01,2025-01-05,371,274,1,1,3,2,31,35,2,S,DMA,Limit,1000,21.9769,21976.9,8.4,21968.5,1.272761,27971.34,10.69,27960.65
T202401110080000122,2024-01-11 07:28:40,2024-01-11,2024-01-13,80,258,28,8,7,5,38,35,12,S,Cross,Limit,800,73.4156,58732.48,10.0,58722.48,0.730244,42889.04,7.3,42881.74
T202405130102000123,2024-05-13 22:59:46,2024-05-13,2024-05-15,102,33,12,3,9,3,33,41,4,B,Algo,Limit,500,33.4166,16708.3,7.19,-16715.49,1.084345,18117.56,7.8,-18125.36
T202406260121000124,2024-06-26 06:21:41,2024-06-26,2024-06-28,121,207,39,11,5,3,19,53,8,B,Voice,Limit,8000,89.253,714024.0,233.4,-714257.4,1.102433,787163.62,257.31,-787420.93
T202506120188000125,2025-06-12 23:05:55,2025-06-12,2025-06-16,188,196,26,7,3,2,17,29,11,B,Algo,Limit,50000,15.9145,795725.0,134.43,-795859.43,1.254055,997882.91,168.58,-998051.5
T202510260319000126,2025-10-26 23:54:20,2025-10-26,2025-10-29,319,184,38,11,6,4,14,59,3,B,Algo,Market,20000,50.0355,1000710.0,328.01,-1001038.01,0.006592,6596.68,2.16,-6598.84
T202407270031000127,2024-07-27 00:04:18,2024-07-27,2024-07-31,31,298,8,2,5,3,33,15,4,S,Algo,Limit,50000,96.6667,4833335.0,707.79,4832627.21,1.085002,5244178.14,767.95,5243410.19
T202508130038000128,2025-08-13 17:26:09,2025-08-13,2025-08-16,38,298,8,2,5,3,15,24,10,S,Cross,VWAP,1000,81.3835,81383.5,19.52,81363.98,1.027529,83623.91,20.06,83603.85
T202512130218000129,2025-12-13 12:34:23,2025-12-13,2025-12-15,218,93,1,1,7,5,36,15,7,S,Voice,Arrival,2000,97.8098,195619.6,18.52,195601.08,0.768038,150243.29,14.22,150229.06
T202511300261000130,2025-11-30 15:05:43,2025-11-30,2025-12-02,261,69,26,7,4,3,14,3,8,S,DMA,VWAP,2000,77.8471,155694.2,50.92,155643.28,1.109403,172727.61,56.49,172671.12
